UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r446	37.0	4.0	1.0	3.0	0.0	55.0
r357	42.0	3.0	1.0	2.5	1.0	45.0
r341	47.0	3.0	1.6	2.25	2.0	50.0
r33	44.0	3.0	1.2	3.25	1.0	50.0
r432	32.0	3.0	1.8	3.5	10.0	50.0
r481	29.0	4.0	1.2	3.25	10.0	50.0
r453	32.0	4.0	2.0	3.75	6.0	50.0
r65	41.0	2.4	1.0	2.75	10.0	47.0
r165	35.0	2.0	1.0	2.75	10.0	50.0
r434	37.0	4.0	1.0	3.0	11.0	50.0
r12	37.0	3.8	1.8	2.75	10.0	51.0
r340	74.0	3.2	1.0	2.0	0.0	90.0
r367	72.0	3.4	1.2	2.75	5.0	86.0
r170	66.0	3.8	1.0	2.25	0.0	90.0
r138	67.0	3.2	1.4	3.0	0.0	90.0
r339	60.0	2.4	1.0	2.25	8.0	80.0
r121	65.0	2.0	1.0	3.25	20.0	80.0
r194	52.0	2.4	1.8	2.75	25.0	89.0
r184	55.0	2.6	1.2	2.5	20.0	90.0
r142	72.0	2.0	1.4	2.0	13.0	66.0
r261	64.0	3.6	1.6	3.0	4.0	70.0
r89	68.0	2.0	1.4	3.0	1.0	71.0
r347	61.0	2.8	1.0	2.25	7.0	64.0
r296	59.0	3.6	1.6	3.5	5.0	62.0
r163	65.0	2.0	1.0	1.25	5.0	60.0
r49	60.0	3.8	1.8	2.75	0.0	60.0
r244	64.0	3.0	1.6	3.0	30.0	66.0
r256	55.0	2.8	2.2	2.5	24.0	60.0
r355	52.0	3.0	1.0	2.0	15.0	50.0
r106	53.0	2.0	1.0	2.75	9.0	56.0
r358	55.0	4.0	1.0	2.25	15.0	64.0
r320	52.0	2.4	1.6	2.75	15.0	69.0
r259	50.0	2.8	1.2	2.5	10.0	65.0
r85	53.0	2.8	1.8	3.25	10.0	65.0
r248	46.0	3.6	1.8	3.75	20.0	70.0
r187	50.0	3.0	1.2	3.75	20.0	70.0
r117	43.0	3.4	1.2	3.0	15.0	63.0
r48	47.0	3.2	1.0	3.75	20.0	59.0
r18	46.0	3.2	1.2	3.75	20.0	64.0
r177	37.0	2.2	2.0	2.5	20.0	91.0
r319	33.0	2.8	1.0	2.5	20.0	85.0
r321	38.0	4.0	1.2	3.25	33.0	67.0
r268	39.0	2.8	1.6	3.25	30.0	70.0
r425	35.0	2.8	1.0	3.0	30.0	80.0
r411	21.0	3.0	1.6	3.25	13.0	74.0
r445	28.0	3.2	1.6	2.5	10.0	80.0
r183	32.0	3.2	1.4	2.5	10.0	80.0
r185	30.0	3.0	1.6	3.0	10.0	70.0
r162	32.0	3.0	1.4	2.75	10.0	75.0
r455	24.0	3.8	1.0	2.75	0.0	80.0
r129	24.0	3.6	1.4	2.75	0.0	85.0
r397	21.0	2.6	1.0	3.25	0.0	61.0
r251	21.0	2.6	1.6	2.5	1.0	65.0
r110	24.0	3.6	2.8	3.5	0.0	65.0
r83	30.0	3.2	1.8	3.25	0.0	60.0
r68	29.0	3.8	1.2	3.5	1.0	70.0
r81	35.0	3.8	1.2	3.25	1.0	70.0
r24	32.0	3.0	2.6	2.5	0.0	70.0
r112	27.0	4.0	1.8	3.5	1.0	75.0
r342	23.0	3.8	1.8	3.75	4.0	69.0
r1	24.0	4.0	3.4	4.0	2.0	70.0
r422	36.0	3.8	2.0	3.0	0.0	78.0
r477	37.0	3.2	2.4	3.25	1.0	75.0
