性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	53.0	2.8	1.0	3.0	57.0	57.0
0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	27.0	4.0	1.8	3.5	1.0	75.0
1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	42.0	3.4	1.0	3.0	40.0	40.0
0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	58.0	2.6	1.0	2.0	50.0	50.0
1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	33.0	3.0	1.2	2.25	30.0	0.0
1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	33.0	3.6	1.8	3.25	0.0	90.0
0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	43.0	3.4	1.2	3.0	15.0	63.0
1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	62.0	3.0	1.0	2.5	45.0	60.0
1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	28.0	3.0	1.2	3.25	0.0	2.0
1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	43.0	3.8	2.0	3.0	70.0	65.0
1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	65.0	2.0	1.0	3.25	20.0	80.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	24.0	3.0	1.6	2.5	10.0	10.0
0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	37.0	2.8	1.8	3.25	60.0	21.0
0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	36.0	2.6	1.8	2.75	60.0	45.0
0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	36.0	3.0	1.4	3.25	0.0	50.0
0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	65.0	2.0	1.0	2.0	82.0	32.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	35.0	4.0	1.2	3.25	50.0	50.0
0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	40.0	2.2	2.0	3.0	41.0	35.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	24.0	3.6	1.4	2.75	0.0	85.0
1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	44.0	2.0	1.2	2.25	60.0	0.0
1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	46.0	4.0	2.8	3.25	46.0	15.0
0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	44.0	2.4	1.0	2.0	50.0	50.0
0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	25.0	4.0	1.2	3.0	1.0	52.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	35.0	3.8	1.6	3.0	0.0	0.0
1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	61.0	3.2	1.4	2.5	60.0	15.0
0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	41.0	3.2	1.2	2.25	44.0	52.0
0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	49.0	2.8	1.0	3.5	52.0	0.0
1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	67.0	3.2	1.4	3.0	0.0	90.0
0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	49.0	2.0	1.6	3.5	50.0	45.0
0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	58.0	3.0	1.4	2.5	85.0	25.0
1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	48.0	4.0	1.0	3.0	61.0	89.0
1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	72.0	2.0	1.4	2.0	13.0	66.0
1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	47.0	3.8	1.8	2.75	50.0	60.0
0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	55.0	3.2	1.2	3.25	45.0	10.0
0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	60.0	3.0	1.0	2.5	62.0	21.0
0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	42.0	2.2	1.4	3.5	1.0	80.0
0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	26.0	2.8	1.0	3.0	50.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	31.0	3.0	2.0	3.5	2.0	35.0
