	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
108	1	x252	212	50	1.0	50	0.0048012794527057985	7.448371397369227e-06	0.004793831081308429	0.004808727824103168
109	1	x82	74	50	1.0	50	0.004547235494910974	7.168915909378324e-06	0.004540066579001596	0.004554404410820352
110	1	x153	141	50	1.0	50	0.0044029507847641244	7.014127468205458e-06	0.004395936657295919	0.00440996491223233
111	1	x347	281	50	1.0	50	0.004084124518667743	7.497711175218885e-06	0.004076626807492524	0.004091622229842962
112	1	x478	375	50	1.0	50	0.003842494446055169	6.583672958442258e-06	0.003835910773096727	0.003849078119013611
113	1	x196	173	50	1.0	50	0.003609177150304591	6.526071188170896e-06	0.00360265107911642	0.003615703221492762
114	1	x583	451	50	1.0	50	0.003176899906142243	6.652469814721682e-06	0.003170247436327521	0.0031835523759569644
115	1	x431	338	50	1.0	50	0.002921282609391743	5.931472823707615e-06	0.0029153511365680356	0.0029272140822154506
116	1	x51	46	50	1.0	50	0.0028115059576934863	6.795669786130363e-06	0.002804710287907356	0.0028183016274796165
117	1	x9	7	50	1.0	50	0.0026490360586419594	6.913862132158395e-06	0.002642122196509801	0.002655949920774118
118	1	x81	73	50	1.0	50	0.0025638323691178646	6.179227220200439e-06	0.002557653141897664	0.002570011596338065
119	1	x350	283	50	1.0	50	0.00246293041401129	7.259733367809183e-06	0.002455670680643481	0.002470190147379099
120	1	x571	439	50	1.0	50	0.002449012415165376	6.776495954533791e-06	0.002442235919210842	0.00245578891111991
121	1	x101	91	50	1.0	50	0.002419706501034336	5.926992691322295e-06	0.002413779508343014	0.0024256334937256584
122	1	x366	297	50	1.0	50	0.002339463228817743	8.034390744735667e-06	0.0023314288380730072	0.0023474976195624786
123	1	x247	207	50	1.0	50	0.002303006684238396	7.0805339761188495e-06	0.0022959261502622772	0.002310087218214515
124	1	x276	225	50	1.0	50	0.0021843105569126623	5.764330176087689e-06	0.0021785462267365748	0.00219007488708875
125	1	x26	23	50	1.0	50	0.0021352527560743882	6.077034811454594e-06	0.0021291757212629336	0.002141329790885843
126	1	x64	58	50	1.0	50	0.0020218099579746625	6.343822330978845e-06	0.002015466135643684	0.0020281537803056413
127	1	x432	339	50	1.0	50	0.0017567016552918959	5.8111963738260695e-06	0.0017508904589180697	0.001762512851665722
128	1	x456	360	50	1.0	50	0.0016692372758619648	5.947552641108055e-06	0.0016632897232208568	0.001675184828503073
129	1	x433	340	50	1.0	50	0.00158415140658067	6.3346542920783195e-06	0.0015778167522885916	0.0015904860608727484
130	1	x292	239	50	1.0	50	0.0015639059517616404	6.130389089216394e-06	0.001557775562672424	0.0015700363408508568
131	1	x341	276	50	1.0	50	0.0014695050707179457	7.273932841116793e-06	0.001462231137876829	0.0014767790035590624
132	1	x412	321	50	1.0	50	0.0014614690829993888	7.36910125257998e-06	0.0014540999817468088	0.0014688381842519688
133	1	x146	135	50	1.0	50	0.0013615110052300947	7.11734947518653e-06	0.0013543936557549082	0.0013686283547052812
134	1	x484	379	50	1.0	50	0.0013333118776055904	7.283686022932804e-06	0.0013260281915826577	0.0013405955636285232
135	1	x363	295	50	1.0	50	0.0005657231452442141	6.443857812221602e-06	0.0005592792874319925	0.0005721670030564357
136	1	x578	446	50	1.0	50	-0.00041063873568501774	7.092253122061297e-06	-0.000417730988807079	-0.00040354648256295646
137	1	x143	132	50	1.0	50	-0.0005802162159206762	6.402296515783264e-06	-0.0005866185124364595	-0.000573813919404893
138	1	x441	348	50	1.0	50	-0.0008197311685222293	7.416226571958162e-06	-0.0008271473950941875	-0.0008123149419502712
139	1	x458	362	50	1.0	50	-0.0011549978529046534	6.872450794148351e-06	-0.0011618703036988017	-0.001148125402110505
140	1	x557	425	50	1.0	50	-0.001175619650339021	8.039653733805063e-06	-0.001183659304072826	-0.001167579996605216
141	1	x369	300	50	1.0	50	-0.0014194174683462646	6.609814203163659e-06	-0.0014260272825494284	-0.0014128076541431009
142	1	x118	108	50	1.0	50	-0.0017570058707957015	6.104206405407801e-06	-0.0017631100772011092	-0.0017509016643902937
