,Name,URL,Ingredients
169,Casino,https://www.thecocktaildb.com/drink/17185-Casino,"gin, maraschino liqueur, Lemon, orange bitters, cherry"
170,Clover Club,https://www.thecocktaildb.com/drink/17186-Clover-Club,"gin, grenadine, lemon, egg white"
171,Derby,https://www.thecocktaildb.com/drink/17187-Derby,"gin, peach bitters, mint"
172,Monkey Gland,https://www.thecocktaildb.com/drink/17189-Monkey-Gland,"gin, benedictine, orange, grenadine"
173,Paradise,https://www.thecocktaildb.com/drink/17190-Paradise,"gin, brandy, orange"
174,White Lady,https://www.thecocktaildb.com/drink/17194-White-Lady,"gin, triple sec, Lemon"
175,French 75,https://www.thecocktaildb.com/drink/17197-French-75,"gin, sugar, Lemon, champagne, orange, maraschino cherry"
177,Rose,https://www.thecocktaildb.com/drink/17208-Rose,"vermouth, gin, brandy, Lemon, grenadine, sugar"
178,Bramble,https://www.thecocktaildb.com/drink/17210-Bramble,"gin, Lemon, sugar syrup, creme de mure"
180,A1,https://www.thecocktaildb.com/drink/17222-A1,"gin, grand marnier, Lemon, grenadine"
181,Abbey Martini,https://www.thecocktaildb.com/drink/17223-Abbey-Martini,"gin, sweet vermouth, orange, bitters"
182,Ace,https://www.thecocktaildb.com/drink/17225-Ace,"gin, grenadine, cream, milk, egg white"
183,Adam & Eve,https://www.thecocktaildb.com/drink/17226-Adam-&-Eve,"gin, cognac, creme de cassis, Lemon"
184,Addison,https://www.thecocktaildb.com/drink/17228-Addison,"gin, vermouth"
185,Adios Amigos Cocktail,https://www.thecocktaildb.com/drink/17229-Adios-Amigos-Cocktail,"rum, vermouth, cognac, gin, lime, sugar syrup, water"
186,Gin Rickey,https://www.thecocktaildb.com/drink/17230-Gin-Rickey,"gin, grenadine, lemon, soda water, lime"
187,Salted Toffee Martini,https://www.thecocktaildb.com/drink/17233-Salted-Toffee-Martini,"gin, chocolate liqueur, amaretto, chocolate sauce, chocolate"
188,Bombay Cassis,https://www.thecocktaildb.com/drink/17242-Bombay-Cassis,"gin, creme de cassis, lime, ginger beer, lime, ginger"
189,Rosemary Blue,https://www.thecocktaildb.com/drink/17245-Rosemary-Blue,"gin, curacao, tonic water,rosemary"
190,The Last Word,https://www.thecocktaildb.com/drink/17247-The-Last-Word,"chartreuse, maraschino liqueur, lime, gin"
191,French Negroni,https://www.thecocktaildb.com/drink/17248-French-Negroni,"gin, lillet, sweet vermouth, orange peel"
192,Pegu Club,https://www.thecocktaildb.com/drink/17249-Pegu-Club,"gin, orange curacao, lime, bitters, orange bitters"
193,Corpse Reviver,https://www.thecocktaildb.com/drink/17250-Corpse-Reviver,"gin, triple sec, lillet, Lemon, absinthe"
194,Bijou,https://www.thecocktaildb.com/drink/17254-Bijou,"orange bitters, chartreuse, gin, sweet vermouth"
195,Gimlet,https://www.thecocktaildb.com/drink/17255-Gimlet,"gin, lime, sugar syrup, lime"
196,Martinez 2,https://www.thecocktaildb.com/drink/17256-Martinez-2,"gin, sweet vermouth, maraschino liqueur, bitters"
197,The Laverstoke,https://www.thecocktaildb.com/drink/17824-The-Laverstoke,"gin, elderflower cordial, rosso vermouth, tonic water, lime, ginger,  mint"
198,Abbey Cocktail,https://www.thecocktaildb.com/drink/17834-Abbey-Cocktail,"gin, orange bitters, orange, cherry"
199,Gin Basil Smash,https://www.thecocktaildb.com/drink/178314-Gin-Basil-Smash,"gin, Lemon, sugar syrup, basil"
200,Munich Mule,https://www.thecocktaildb.com/drink/178315-Munich-Mule,"gin, lime, ginger beer, cucumber, lemon"
201,The Philosopher,https://www.thecocktaildb.com/drink/178330-The-Philosopher,"gin, melon liqueur, orange bitters, Lemon, prosecco"
202,The Strange Weaver,https://www.thecocktaildb.com/drink/178339-The-Strange-Weaver,"rum, gin, sweet vermouth, campari,  Lemon,  orgeat syrup,orange peel"
203,Garibaldi Negroni,https://www.thecocktaildb.com/drink/178340-Garibaldi-Negroni,"gin, campari, orange,orange peel"
204,Orange Rosemary Collins,https://www.thecocktaildb.com/drink/178341-Orange-Rosemary-Collins,"gin, orange, Lemon, rosemary syrup, soda water,rosemary,orange peel"
205,Gin and Soda,https://www.thecocktaildb.com/drink/178342-Gin-and-Soda,"gin, soda water, lime"
206,Pink Moon,https://www.thecocktaildb.com/drink/178354-Pink-Moon,"gin, coconut liqueur, elderflower cordial, lime,blackberries"
207,Mountain Bramble,https://www.thecocktaildb.com/drink/178355-Mountain-Bramble,"gin, Lemon, sugar syrup, blackberries, soda water,mint"
208,Gin Tonic,https://www.thecocktaildb.com/drink/178365-Gin-Tonic,"gin, tonic water, Lemon, ice"
209,Gin Lemon,https://www.thecocktaildb.com/drink/178366-Gin-Lemon,"gin, Lemon, Lemon, ice"
210,Ramogin Fizz,https://www.thecocktaildb.com/drink/178367-Ramos-Gin-Fizz,"gin, Lemon, sugar syrup, cream, egg white,  vanilla extract, soda water"
211,Rum Cooler,https://www.thecocktaildb.com/drink/12071-Rum-Cooler,"rum, lemon-lime soda, lemon"
212,Rum Toddy,https://www.thecocktaildb.com/drink/12097-Rum-Toddy,"rum, sugar, twist of Lemon, water"
213,Tia-Maria,https://www.thecocktaildb.com/drink/12856-Tia-Maria,"water, sugar, coffee, rum, vanilla extract"
214,Artillery Punch,https://www.thecocktaildb.com/drink/12870-Artillery-Punch,"black tea, whisky, red wine, rum, brandy, benedictine, orange, lemon"
215,Egg Nog Healthy,https://www.thecocktaildb.com/drink/12916-Egg-Nog---Healthy,"egg, sugar, condensed milk, milk, vanilla extract, rum, nutmeg"
217,Zippy's Revenge,https://www.thecocktaildb.com/drink/14065-Zippys-Revenge,"amaretto, rum, grape"
219,Rum Punch,https://www.thecocktaildb.com/drink/14978-Rum-Punch,"rum,  ginger ale, fruit, orange, ice"
220,Jamaican Coffee,https://www.thecocktaildb.com/drink/15825-Jamaican-Coffee,"lasrum, coffee, water, whipped cream"
225,Hemingway Special,https://www.thecocktaildb.com/drink/17201-Hemingway-Special,"rum, grapefruit, maraschino liqueur, lime"
226,Barracuda,https://www.thecocktaildb.com/drink/17209-Barracuda,"rum, galliano, Pineapple, lime, prosecco"
228,Zombie,https://www.thecocktaildb.com/drink/17241-Zombie,"rum, rum, rum, pernod, grenadine, lime,  bitters"
229,Bahama Mama,https://www.thecocktaildb.com/drink/17267-Bahama-Mama,"rum, dark rum, banana liqueur, grenadine, Pineapple, orange, "
230,Blue Hurricane,https://www.thecocktaildb.com/drink/17268-Blue-Hurricane,"rum, dark rum, passoa, curacao, , ice"
231,Espresso Rumtini,https://www.thecocktaildb.com/drink/178309-Espresso-Rumtini,"rum, vanilla syrup, espresso, coffee"
232,Spice 75,https://www.thecocktaildb.com/drink/178322-Spice-75,"sugar, allspice, rum, lime, champagne,orange spiral"
233,Funk and Soul,https://www.thecocktaildb.com/drink/178328-Funk-and-Soul,"rum, apricot, pomegranate juice, lemon, soda water"
234,Captain Kidd's Punch,https://www.thecocktaildb.com/drink/178329-Captain-Kidds-Punch,"rum, lime, egg white, bitters, sugar, nutmeg"
235,Bounty Hunter,https://www.thecocktaildb.com/drink/178331-Bounty-Hunter,"rum, coconut liqueur,blueberries,  Pineapple, prosecco"
236,Pure Passion,https://www.thecocktaildb.com/drink/178338-Pure-Passion,"rum, passoa, lime, passion fruit syrup,  peach bitters,mint"
238,Margarita,https://www.thecocktaildb.com/drink/11007-Margarita,"tequila, triple sec, lime, salt"
239,Bloody Maria,https://www.thecocktaildb.com/drink/11112-Bloody-Maria,"tequila, tomato, Lemon, tabasco sauce, celery salt, lemon"
240,Blue Margarita,https://www.thecocktaildb.com/drink/11118-Blue-Margarita,"tequila, curacao, lime, salt"
241,Strawberry Margarita,https://www.thecocktaildb.com/drink/12322-Strawberry-Margarita,"strawberry schnapps, tequila, triple sec, Lemon, strawberries, salt"
