Cocktail Name,Ingredients
The Stapleton (aka Tennessee Smooth),"whiskey, dry vermouth, cynar, orgeat, cherry bitters, cherry"
Across State Lines,"bourbon, whiskey, kiwi juice, cocchi americano, strawberry jelly, rhubarb bitters, rosemary"
Strawberry Blow Fizz,"brandy, lemon juice, simple syrup, egg white, club soda"
Oaxacan Vacation,"whiskey, mezcal, pineapple juice, lemon juice, agave, lemon wheel"
Raton Laveur,"mr. black coffee liqueur, angostura bitters, egg white"
Screwballs of Fire,"honey syrup, angostura bitters"
Devil poison,"bourbon, aged rum, lemon juice, cinnamon bark syrup, sugar cane syrup, angostura bitters"
Smoked banana daiquiri,"lime juice, ice"
Tom Kha-llins,"gin, coconut cream, lime juice, ginger syrup, basil leaf"
Lady Penelope,coffee beans
Flor de PBJerez Swizzle,"skrewball whiskey, amontillado sherry, apricot liqueur, lemon juice, simple syrup, angostura bitters"
Blue Hawai-Tai,"jamaica rum, orange liqueur, light rum, lemon juice, orgeat, simple syrup, mint"
Piedmont Sour,"lime juice, angostura bitters, egg white"
Empty the Fridge,"lemon juice, cinnamon syrup, velvet falernum"
Appetite Reviver No. 10,"taneueray no. 10, cocchi americano, aperol, lemon juice, simple syrup, basil leaves, cucumber slices, cherry tomatoes"
The Sassy Jackson,"lime juice, velvet falernum, mint leaves"
Yuletide Peril,"bourbon, rhum, amaretto, allspice dram, lemon juice, orange juice, falernum, demerara syrup, angostura bitters, grated nutmeg, cinnamon stick"
Long Peninsula Iced Tea,"overproof white rum, lime juice, simple syrup, orange liqueur, black tea, cola, lime, orange"
Curveball,"lemon juice, lime juice, midori, club soda"
Sour Sunset,"light rum, raspberry liqueur, demerara syrup, lime juice, blackberries, cinnamon"
Summer Tease,"demerara orgeat, lime juice, liquer de abricot, jamaica rum, pure white or vsop, aromatic bitters, pebble ice, fresh mint, dried apricot"
Spruce & Fir.,"cynar, lime juice, simple syrup"
Smoky Haitian Sour,"lime juice, honey syrup, aztec chocolate bitters, egg white"
The Cravings,"bourbon, cointreau, creme de cacao white, dash orange bitters, dash chocolate bitters, angostura bitters, barspoon simple syrup, egg white, orange slice, cocoa powder"
Rhabalapapp,"vodka, black pepper, lemon juice, lemon peel, water"
The Last Corpse,"lemon juice, gin, lemon peel"
House Harkonnen,"smith & cross, angostura bitters, lime juice, simple syrup, spritz of absinthe, lime crown"
Cocktail not named yet,"lime juice, green chartreuse"
